name	@lat	@lon	population
Nova Itapirema	-21.0755452	-49.5436464	
Botafogo	-20.9992772	-48.5493099	
Turvínia	-21.0151233	-48.6458213	717
Aparecida do Monte Alto	-21.2378741	-48.6439243	
Jurupema	-21.3669481	-48.5706745	
Alfredo Guedes	-22.5927852	-48.7128134	
Lobo	-22.9977844	-48.6851299	
Santelmo	-22.1958127	-48.8754016	
Vanglória	-22.4480098	-48.7782883	
Monte Verde Paulista	-20.8445287	-48.7904109	
Suinana	-20.5481756	-49.1326326	
Tupy	-23.5448215	-48.2350713	
Ibitiúva	-20.9991677	-48.3287237	
Lusitânia	-21.1271983	-48.2775831	
Córrego Rico	-21.2888446	-48.2635306	
Simonsen	-20.4516386	-49.8927965	1156
Ida Iolanda	-20.7014012	-49.9515292	
Santa Izabel do Marinheiro	-20.1646058	-50.0751861	
Brasitânia	-20.1378006	-50.3201940	
São João do Marinheiro	-20.0304920	-50.0400666	
Boa Vista dos Andradas	-20.2016667	-49.8747222	
Ruilândia	-20.9225949	-49.5353415	
Miraluz	-20.9416582	-49.6903737	
Ibitu	-20.6126787	-48.7646067	1819
Ribeiro dos Santos	-20.6084772	-48.9516131	
Juquiratiba	-22.9637167	-48.0995110	
Pirambóia	-22.9338834	-48.1620212	
Vila Xavier	-21.7874896	-48.1630644	
Patrimônio de São Sebastião da Serra	-22.4426156	-48.0107866	
Itaiúba	-20.7190587	-49.8803376	
Junqueira	-20.8207983	-49.8676639	
Ingás	-20.4089918	-49.3348746	
Jurupeba	-20.3116141	-49.3826189	
Marcondésia	-20.8779038	-48.7152802	
Alberto Moreira	-20.4403245	-48.5534450	
Barra Dourada	-20.8087902	-49.6178262	
Engenheiro Balduíno	-20.6827036	-49.6892715	
Engenheiro Schmitt	-20.8665336	-49.3098081	
Talhado	-20.7061991	-49.2941841	
Onda Branca	-20.4632941	-49.3862378	
Duplo Céu	-20.2523763	-49.5505033	
Taquaras	-23.4000988	-49.3471091	
Ribeirão Bonito	-23.4029674	-49.2535282	
Santa Terezinha	-22.3813639	-49.7604236	
Barra Grande	-23.0479605	-49.0410656	
Conceição	-23.7010650	-48.1042460	
Vila Alves	-20.1711303	-49.9678157	
Vila Nova	-20.4113520	-49.6897484	600
Usina Barbacena	-20.9576581	-48.1180591	
Laranjeiras	-20.2915655	-48.7187937	
Major Prado	-20.8728648	-50.4931193	
Nova Palmira	-20.7153765	-50.3979670	
Vicentópolis	-20.9170095	-50.3426663	
Taquari	-21.3872872	-50.4113214	
Vila Negri	-21.3955009	-48.6352947	
Roseta	-22.5445277	-50.5984523	
Quilombo	-21.9703601	-49.0783415	
Marilândia	-21.9473237	-48.8941926	
Aparecida do Salto	-20.3223880	-48.0006917	
Agrovila	-24.0063669	-49.0524817	
Varginha	-23.7279068	-48.1998045	
Caputera	-23.6987715	-48.9093472	
Presidente Epitácio	-21.7650740	-52.1111400	39505
Caiuá	-21.8319357	-51.9887179	5466
Junqueirópolis	-21.5109531	-51.4351505	20448
Panorama	-21.3612672	-51.8572739	14964
Pauliceia	-21.3143975	-51.8316259	7955
Ouro Verde	-21.4892638	-51.7025981	7779
Santa Mercedes	-21.3513258	-51.7534000	2956
Nova Guataporanga	-21.3330061	-51.6465874	2156
Rosana	-22.5788641	-53.0552246	17440
